N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.006,4
2,OPTIMAL_SOLUTION,9,0.008,7
3,OPTIMAL_SOLUTION,10,0.008,13
4,OPTIMAL_SOLUTION,11,0.01,6
5,OPTIMAL_SOLUTION,12,0.032,285
6,OPTIMAL_SOLUTION,13,0.015,7
7,OPTIMAL_SOLUTION,14,0.013,1
8,OPTIMAL_SOLUTION,15,0.018,18
9,OPTIMAL_SOLUTION,16,0.024,189
10,OPTIMAL_SOLUTION,17,0.023,59
11,OPTIMAL_SOLUTION,18,0.219,1872
12,OPTIMAL_SOLUTION,19,0.218,2179
13,OPTIMAL_SOLUTION,20,0.287,3704
14,OPTIMAL_SOLUTION,21,0.262,2498
15,OPTIMAL_SOLUTION,22,0.17,821
16,OPTIMAL_SOLUTION,23,1.062,8412
17,OPTIMAL_SOLUTION,24,0.041,40
18,OPTIMAL_SOLUTION,25,0.666,4992
19,OPTIMAL_SOLUTION,26,32.557,211265
20,OPTIMAL_SOLUTION,27,8.568,64087
21,OPTIMAL_SOLUTION,28,3.701,29565
22,OPTIMAL_SOLUTION,29,7.26,46129
23,OPTIMAL_SOLUTION,30,0.821,2736
24,OPTIMAL_SOLUTION,31,0.647,4433
25,OPTIMAL_SOLUTION,32,51.825,256299
26,OPTIMAL_SOLUTION,33,89.223,607111
27,OPTIMAL_SOLUTION,34,1.507,11421
28,OPTIMAL_SOLUTION,35,1.595,11660
29,OPTIMAL_SOLUTION,36,2.069,11135
30,OPTIMAL_SOLUTION,37,216.173,878910
31,OPTIMAL_SOLUTION,38,0.356,2040
32,OPTIMAL_SOLUTION,39,33.289,198209
33,OPTIMAL_SOLUTION,40,1.262,9101
34,SATISFIED,40,299.622,1804646
35,SATISFIED,40,299.621,1522449
36,SATISFIED,40,299.626,1512349
37,SATISFIED,60,299.575,1374087
38,SATISFIED,60,299.628,1373364
39,SATISFIED,60,299.589,1286288
40,SATISFIED,92,299.563,566886
