N. Instance,Solution Status,Height,Time
1,Optimal,8,0.4085
2,Optimal,9,0.0534
3,Optimal,10,0.0625
4,Optimal,11,0.0691
5,Optimal,12,0.0846
6,Optimal,13,0.1224
7,Optimal,14,0.1159
8,Optimal,15,0.1225
9,Optimal,16,0.1627
10,Optimal,17,0.1849
11,Optimal,18,17.6155
12,Optimal,19,0.9085
13,Optimal,20,23.7787
14,Optimal,21,2.9167
15,Optimal,22,4.6444
16,Optimal,23,83.2636
17,Optimal,24,92.3389
18,Optimal,25,17.3682
19,Optimal,27,300.2439
20,Optimal,28,300.2178
21,Optimal,29,300.1865
22,Optimal,30,300.1952
23,Optimal,30,63.2484
24,Optimal,31,33.6254
25,Optimal,33,300.2802
26,Optimal,34,300.2166
27,Optimal,34,193.8815
28,Optimal,36,300.2233
29,Optimal,36,33.2945
30,Optimal,38,300.1982
31,Optimal,38,27.628
32,Optimal,42,300.3028
33,Optimal,40,16.3
34,Optimal,42,300.2843
35,Optimal,41,300.221
36,Optimal,40,253.7547
37,Optimal,62,300.208
38,Optimal,62,300.2108
39,Optimal,61,300.2407
40,Optimal,123,300.8767
